,Title,Description,Cast&Crew,Duration,Minimum price,Rating
53,1776,"1776 is a musical with music and lyrics by Sherman Edwards and a book by Peter Stone. The show is based on the events leading up to the signing of the Declaration of Independence, telling a story of the efforts of John Adams to persuade his colleagues to vote for American independence and to sign the document.","Santino Fontana, John Larroquette, Bryce Pinkham, Alexander Gemignani, André De Shields, John Behlmann, Michael McCormick, Nikki Renée Daniels, Christiane Noll, Jubilant Sykes, Wayne Pretlow, Macintyre Dixon, Jacob Keith Watson, Ric Stoneback, Laird Mackintosh",144,0,85
54,21 Chump Street,"21 Chump Street is a fourteen-minute one-act musical. The show was based on the second act of episode #457 of This American Life, titled ""What I Did For Love"" and reported by Robbie Brown, in which a high school student, Justin Laboy, falls in love with an undercover police officer, and is ultimately arrested for selling drugs to the officer in an attempt to impress her.","Lin-Manuel Miranda, Anthony Ramos, Lindsay Mendez, Alex Boniello, 	Gerard Canonico, Antwaun Holley",14,0,0
55,35MM: A Musical Exhibition,"Representing a collision of artistic disciplines as disparate as musical theatre, photography, and pop/rock music,” 35mm, according to press notes, “pushes the limits of self-expression to create an art form utterly its own. A collection of ‘snapshot stories’ are woven together as each of the evening’s original songs is performed – with gusto and musical virtuosity — while the audience is immersed in stunning projections of the photography that inspired it. 35mm brings the connection between pleasures visual and aural into razor-sharp focus, creating a singular, multi-sensory emotional journey.","Ryan Scott Oliver, Matthew Murphy",90,0,0
56,The Addams Family,"The Addams Family is a musical comedy with music and lyrics by Andrew Lippa and book by Marshall Brickman and Rick Elice. The show is based upon The Addams Family characters created by Charles Addams in his single-panel gag cartoons, which depict a ghoulish American family with an affinity for all things macabre. Although numerous film and television adaptations of Addams’ cartoons exist, the musical is the first stage show based on the characters.","Andrew Lippa, Nathan Lane, Bebe Neuwirth, Kevin Chamberlin, Krysta Rodriguez, Terrence Mann, Carolee Carmello, Wesley Taylor, Jackie Hoffman, Adam Riegler, Zachary James",140,0,0
57,American Idiot,"The musical is based on the concept album of the same name by punk rock band Green Day. The story centres on three disaffected young men, Johnny, Will and Tunny. Johnny and Tunny flee a stifling suburban lifestyle and parental restrictions, while Will stays at home to work out his relationship with his pregnant girlfriend, Heather. The former pair look for meaning in life and try out the freedom and excitement of the city. Tunny quickly gives up on life in the city, joins the military and is shipped off to war. Johnny turns to drugs and finds a part of himself that he grows to dislike, has a relationship and experiences lost love.","Green Day,	Billie Joe Armstrong, John Gallagher Jr., Stark Sands, Michael Esper, Tony Vincent, Rebecca Naomi Jones, Mary Faber, Christina Sajous",90,0,0
58,Anastasia,"From the Tony-winning creators of ’Ragtime,’ this musical journeys from the twilight of the Russian Empire to the euphoria of Paris in the 1920s as Anya sets out to unlock the mystery of who she is and where she came from. Pursued by a ruthless Soviet officer determined to silence her, Anya enlists the aid of a dashing conman and a lovable ex-aristocrat. Together, they embark on an epic adventure to help her find home, love, and family.","Christy Altomare, Derek Klena, John Bolton, Lauren Blackman, Maria Briggs, Ramin Karimloo, Caroline O’Connor, Mary Beth Peil",150,0,83
59,Assassins,"Assassins explores the lives of nine men and women who either killed (or tried to kill) one of the Presidents of the United States. From John Wilkes Booth to Lee Harvey Oswald and beyond, the stories of our country’s most successful and would-be assassins intersect in unexpected ways, creating a powerful, yet unnervingly funny look at some of the most shocking moments in U.S. history.","Stephen Sondheim, Steven Pasquale, Will Swenson, Brandon Uranowitz, Wesley Taylor, Ethan Slater, Andy Grotelueschen, Tavi Gevinson, Judy Kuhn, Adam Chanler-Berat, 	Ethan Slater, Eddie Cooper, Bianca Horn",105,0,86
60,Beatlemania,Beatlemania is a Broadway musical revue focused on the music of the Beatles as it related to the events and changing attitudes of the tumultuous 1960s.,"The Beatles, Joe Pecorino, Mitch Weissman, Les Fradkin, Justin McNeill",0,0,0
61,Bonnie & Clyde,"The story of outlaws Bonnie and Clyde is a part of Americana, but this story is a sunnier version than the usual shoot-’em-up tales. When car trouble (hers) brings Bonnie Parker and Clyde Barrow together, they immediately fall in love. Growing up in dustbowl Texas, Bonnie is a young waitress who wants to be a movie star, and Clyde is a car-loving small-time crook who just wants to crawl out from under the crushing poverty he’s known his whole life. Clyde and his brother Buck have been in and out of jail for years, much to the disapproval of Buck’s religious wife Blanche, and as their robberies get more and more notorious, they become known as ""The Barrow Gang,"" which Bonnie soon joins. When their crimes escalate from robbery to murder, these lovers on the run make national headlines.","Laura Osnes, Jeremy Jordan, Louis Hobson, Claybourne Elder, Melissa Van Der Schyff, Joe Hart",150,0,0
62,Breakfast at Tiffany’s,"Based on Truman Capote’s classic novella, Breakfast at Tiffany’s tells the story of a young Southern-born writer who becomes infatuated with his Upper East Side neighbor, the beguiling, effervescent beauty Holly Golightly. As she pulls him up in her world of spontaneous parties and luxury, he finds himself fascinated with this captivating woman, her quirks and her mysterious past.","Emilia Clarke, Cory Michael Smith, George Wendt",0,0,0
63,Brooklynite,"Trey Swieskowski is an idealistic hardware store clerk who dreams of becoming a superhero. Astrolass, Brooklyn’s most celebrated superhero, is determined to throw in the cape and live like a normal Brooklynite. When they meet they hatch a plan that will change their lives forever. But can they save Brooklyn when it suddenly teeters on the brink of disaster?","Matt Doyle, Andrew Call, Gerard Canonico, Max Chernin, Nick Choksi, Nick Cordero, Ann Harada, John-Michael Lyles, Grace McLean, Carla Duren, Tom Alan Robbins, Nicolette Robinson, Remy Zaken",140,0,79
64,Cabaret,"Based on a book by Christopher Isherwood, Cabaret tells the story of a seedy nightclub in 1930’s Berlin where a young English performer strikes up a relationship with an American writer, all while a zealous Master of Ceremonies commands the action at the Kit Kat Klub.","Alan Cumming, Sienna Miller, Danny Burstein, Linda Emond, Hani Furstenberg, Bill Heck, Aaron Krohn",165,0,87
65,Camelot,Camelot is a 1960 musical by Alan Jay Lerner (book and lyrics) and Frederick Loewe (music). It is based on the King Arthur legend as adapted from T. H. White’s 1958 novel The Once and Future King.,"Richard Burton, Julie Andrews, Robert Goulet",180,0,0
66,Carrie,"Set in present day Maine, Carrie explores the horrors of high school bullying and how the results can sometimes be deadly. Carrie White is the most picked on girl in school, and at home, she lives under the strict rule of her religious mother. Yet, what really sets her apart are her special telekinetic powers. Based on the Stephen King novel, the musical shows what happens when one girl is pushed too far.","Molly Ranson, Marin Mazzie, Christy Altomare, Carmen Cusack, Jeanna de Waal, Derek Klena, Ben Thompson",120,0,0
67,Catch Me If You Can,"Catch Me If You Can follows the adventures of Frank Abagnale Jr., a suburban kid in the early 1960s who leaves home before graduating from high school and parlays a gift for telling tall tales and forging checks into an around-the-world spree. Doggedly pursued by FBI agent Carl Hanratty, Frank manages to pose as an airline pilot, an emergency room doctor and a lawyer, winning the heart of nurse Brenda Strong along the way. The charming young con artist is greatly influenced by his father (who has his own brushes with the law) and forges an unlikely friendship with Hanratty.","Norbert Leo Butz, Aaron Tveit, Tom Wopat, Kerry Butler, Rachel De Benedet, Linda Hart, Nick Wyman",150,0,0
68,Cats,"Based on T.S. Eliot’s Old Possum’s Book of Practical Cats, Andrew Lloyd Webber’s classic musical tells the story of the Jellicle cats and each cat’s individual quest to be selected as the lucky one who will ascend to ""the Heaviside Layer.""","Andrew Lloyd Webber, Mamie Parris, Tyler Hanes, Quentin Earl Darrington, Zachary Downer, Aaron J. Albano, Samantha Sturm, Mackenzie Warren, Sarah Marie Jenkins, Christopher Gurr, Andy Huntington Jones",135,0,79
69,Charlie and the Chocolate Factory,"Willy Wonka is opening his marvelous and mysterious chocolate factory…to a lucky few. That includes Charlie Bucket, whose bland life is about to sweeten with color and confection beyond his wildest dreams. He and four other golden ticket winners will embark on a mesmerizing joyride through a world of pure imagination. Now’s your chance to experience the wonders of Wonka like never before—get ready for Oompa-Loompas, incredible inventions, the great glass elevator and more, more, more at this everlasting showstopper!","Christian Borle, John Rubinstein, Jake Ryan Flynn, Emily Padgett, Kathy Fitzgerald, F. Michael Haynie, Ben Crawford, Emma Pfaeffle, Alan H. Green, Trista Dollison, Jackie Hoffman, Michael Wartella",150,0,74
70,Chess,"Set against the backdrop of the International Chess Championship, from Bangkok to Budapest, the players, lovers, politicians, and spies manipulate and are manipulated to the pulse of a rock score that includes ""One Night in Bangkok"" and ""Heaven Help My Heart.""","Benny Andersson, Björn Ulvaeus, Murray Head, Tommy Körberg, Elaine Paige, Denis Quilley, Björn Skifs, Barbara Dickson",160,0,72
71,Cinderella,"The smart and beautiful young Ella lives in the care of her wicked, self-absorbed stepmother Madame and Madame’s two daughters, Charlotte and Gabrielle. Ella’s only friends in the world are the animals in the woods, “crazy Marie” and the revolutionary student Jean-Michel. Meanwhile in another part of the kingdom, Prince Topher is trying to find himself and learn his place in the kingdom. When his scheming advisor Sebastian suggests throwing a ball so the Prince could meet potential brides, Ella and Topher’s different worlds come together. Expect the unexpected in this clever retelling of the beloved fairytale.","Keke Palmer, Joe Carroll, Judy Kaye, NeNe Leakes, Ann Harada, Stephanie Gibson, Todd Buonopane, Peter Bartlett, Phumzile Sojola",120,0,84
72,"Clueless, The Musical","Amy Heckerling takes us back to 90s Beverly Hills with this musical version of her beloved film ""Clueless,"" a modern spin on Jane Austen’s ""Emma​."" With her singular voice, she gives us a score that reimagines 90s hits into parodies and yearning monologues for her lovesick characters. Director Kristin Hanggi (""Rock of Ages"") and choreographer Kelly Devine (""Come from Away"") drive this fresh take on the story of Cher, a girl so psychotically optimistic she can’t see that her bungling attempts at playing Cupid disguise her own fashion-plated isolation.","Dove Cameron, Zurin Villanueva, Ephie Aardema, Dave Thomas Brown, Chris Hoch, Tessa Grady, Justin Mortelliti, Megan Sikora",150,0,71
73,Cry-Baby,"This jumping, jiving Tony winner for Best Choreography is a rebellious teen comedy event! Based on the cult classic 1990 John Waters film, Cry-Baby’s lovable 1950s bad-boy, “Cry-Baby” Walker, his good-girl love Allison and Baltimore’s energetic juvenile delinquents will dance their way right into your heart!","James Snyder, Elizabeth Stanley, Alli Mauzey, Harriet Harris, Chester Gregory II, Christopher J. Hanke, Carly Jibson, Lacey Kohl, Tory Ross, Richard Poe",135,0,0
74,Dance of the Vampires,"Set in Lower Belabartòkovitch, Transylvania, Dance of the Vampires is a new gothic musical comedy starring Michael Crawford as Count Von Krolock, a 19th century vampire whose passion is to win the soul, and body, of a beautiful 18-year-old virgin, Sarah. Count Von Krolock’s un-deadly intentions are upset with the arrival of the vampire killer, Professor Abronsius. Set against Jim Steinman’s blood-pumping music, Dance of the Vampires turns the horror genre on its ear, while keeping a tongue planted firmly in its cheek.","Drew Sarich, Diana Schnierer, Sebastian Brandmeir, Raphael Gross, Nicolas Tenerani, Dawn Bullock, Marle Martens, Charles Kreische, Florian Resetarits",135,0,0
75,Diana,"Diana the Musical tells the story of one of the most beloved women of modern times. Engaged to a prince she barely knows,19-year-old Diana Spencer is thrust onto the world stage and, overnight, becomes the most famous woman in the world. As she struggles to navigate her way within the rigid structure of the royal family, Princess Diana finds herself trapped in a loveless marriage, eventually finding her voice by devoting herself to those in need. Forced to endure a media spotlight brighter than the world has ever known, Princess Diana defies all expectations to emerge as her own woman and create a legacy that will endure forever.","Jeanna de Waal, Roe Hartrampf, Erin Davie, Judy Kaye",135,0,68
76,Dracula,"Based on Bram Stroker’s classic novel, Dracula is set in the late 19th century, and follows Dr. Seward, an English doctor who is concerned by the unusual health conditions of his daughter, Lucy. Seward calls upon his old friend Abraham Van Helsing to come investigate. Van Helsing believes Lucy’s odd behavior may be attributed to the presence of vampires and begins to question the motives of the Sewards’ new and seductive foreign neighbor Count Dracula.","Michel Altieri, Emily Bridges, George Hearn, Timothy Jerome, Jake Silbermann, John Buffalo Mailer, Rob O’Hare, Katharine Luckinbill",140,0,91
77,Dreamgirls,"Full of onstage joy and backstage drama, Dreamgirls tells the rags-to-riches story of a 1960s Motown girl group, and the triumphs and tribulations that come with fame and fortune.","Syesha Mercado, Moya Angela, Adrienne Warren, Chester Gregory, Margaret Hoffman, Chaz Lamar Shepherd",150,0,0
78,Finding Neverland,"Based on the film of the same name, Finding Neverland follows the story of author J.M. Barrie and his relationship with the family of widow Sylvia Llewelyn Davies, who eventually became Barrie’s inspiration to write Peter Pan. The musical explores the power of imagination to open up new worlds, and the pressures put upon those worlds by the inevitability of growing up.","Tony Yazbeck, Laura Michelle Kelly, Paul Slade Smith, Carolee Carmello, Dana Costello, Alex Dreier, Christian Michael Camporin, Jackson Demott Hill, Jack McCarthy, Eli Tokash, Christopher Paul Richards",155,0,84
79,Frankenstein,"Frankenstein: a new musical, based on Mary Shelley’s classic novel, is a two-act sweeping, romantic musical about the human need for love and companionship. Having lost his mother at a young age, Victor Frankenstein seeks to end human mortality and arrogantly enters territory beyond his control. While he enjoys unconditional love from Elizabeth, he grants none to his creation.","Hunter Foster, Steve Blanchard, Christiane Noll, Jim Stanek, Mandy Bruno, Richard White, Aaron Serotsky",120,0,66
80,Friends! The Musical Parody,"Friends! The Musical Parody celebrates and pokes fun at the wacky misadventures of the group of 20something pals we love from the hit TV show as they navigate the pitfalls of work, life and love in 1990s Manhattan.","Landon Zwick, Seth Blum Lisa Graye, Katie Johantgen, Patricia Sabulis, Alan Trinca",130,0,76
81,Frozen,"Frozen is the timeless tale of two sisters, pulled apart by a mysterious secret. As one young woman struggles to find her voice and harness her powers within, the other embarks on an epic adventure to bring her family together once and for all. Both are searching for love. They just don’t know where to find it.","Ciara Renée, McKenzie Kurtz Ryan McCartan, Ryann Redmond, Noah J. Ricketts, Robert Creighton, Andrew Pirozzi, Kevin Del Aguila",125,0,80
82,Ghost,"Banker Sam Wheat and artist Molly Jensen are young New Yorkers who are very much in love. While walking home to their apartment one night the couple gets mugged, and Sam is shot and killed. Trapped in this world as a ghost, Sam learns the truth behind his murder, and that Molly is in grave danger. As he follows the man who killed him to try and find out more, he stumbles on eccentric storefront psychic Oda Mae Brown. Though she’s been a fraud of a medium for years, it turns out she really can hear Sam. She’s reluctant to get involved, but Sam convinces her to help him communicate with Molly and bring down the conspirators who took his life.","Caissie Levy, Richard Fleeshman, Bryce Pinkham, Da’Vine Joy Randolph",135,0,0
83,Groundhog Day,"In the role that won him the 2017 Olivier, Drama Desk and Outer Critics Award for Best Actor, Andy Karl plays Phil Connors—a disgruntled big-city weatherman mysteriously stuck in small-town America reliving the same day over and over and over again—with no consequences, no regrets, no tomorrows, and no hangovers. But once he starts getting to know associate TV producer Rita Hanson, he discovers it’s a day of second, third and fourth chances.","Andy Karl, Barrett Doss, Rebecca Faulkenberry, John Sanders",155,0,82
84,The Guy Who Didn’t Like Musicals,"The Guy Who Didn’t Like Musicals is a horror comedy musical. The show follows Paul, an average guy “who doesn’t like musicals,” as his town is overcome by a musical alien hive mind.","Jon Matteson, Lauren Lopez, Joey Richter, Jaime Lyn Beatty, Corey Dorris, Robert Manion, Mariah Rose Faith, Jeff Blim",110,0,0
85,Gypsy,"Set during the vaudeville era, Gypsy is about a relentless stage mother, Rose (Bernadette Peters), traveling the country with her two daughters, June and Louise, and their manager, Herbie. While June and Louise wish their mother would settle down and marry Herbie, Rose continues to pursue dreams of stardom for her girls. When June deserts the act, Rose turns her attention to the shy Louise, whom she hopes to fashion into a star. When the act is booked into a burlesque house by mistake, Louise is forced into the spotlight and Gypsy Rose Lee is born.","Patti LuPone, Laura Benanti, Leigh Ann Larkin, Boyd Gaines, Tony Yazbeck, Alison Fraser, Lenora Nemetz, Marilyn Caskey, Arthur Laurents",135,0,96
86,Hairspray,"Based on the 1988 John Waters film, Hairspray follows lovable optimist Tracy Turnblad as she follows her dream, turning Baltimore upside down as she goes. This eight-time Tony Award winner boasts big hair, bigger fun and some of the most toe-tapping good times around.","Marissa Jaret Winokur, Harvey Fierstein, Dick Latessa, Mary Bond Davis, Linda Hart, Clarke Thorell, Matthew Morrison, Kerry Butler, Corey Reynolds, Laura Bell Bundy, Jackie Hoffman, Joel Vig, Danielle Eugenia Wilson",160,0,89
87,Hercules,"Disney’s animated musical comes to life in this new participatory staging by Public Works. The free, outdoor production features a cast of professional actors and community groups from across the city.","Jelani Alladin, James Monroe Iglehart, Krysta Rodriguez, Roger Bart, Nelson Chimilio, Jeff Hiller, Ramona Keller, Tamika Lawrence, Joel Frost, Rema Webb",100,0,83
88,The Hunchback of Notre Dame,The Hunchback of Notre Dame is a musical play based on the 1831 novel of the same name written by Victor Hugo with songs from the 1996 Walt Disney Animation Studios film adaptation.,"Michael Arden, Ciara Renée, Andrew Samonsky, Erik Liberman, Patrick Page, Ian Patrick Gibb, Jeremy Stolle, Samantha Massell, Neal Mayer, Continuo Arts",150,0,0
89,If/Then,"If/Then is a contemporary new musical that follows two distinct storylines in the life of Elizabeth, a city planner who moves back to New York to restart her life in this city of infinite possibilities. When her carefully designed plans collide with the whims of fate, Elizabeth’s life splits into two parallel paths. If/Then follows both stories simultaneously as this modern woman faces the intersection of choice and chance.","Idina Menzel, LaChanze, Anthony Rapp, Jenn Colella, Jerry Dixon, Jason Tam, James Snyder, Tamika Lawrence",155,0,84
90,In the Heights,"In the Heights centers on a variety of characters living in the neighborhood of Washington Heights, on the northern tip of Manhattan. At the center of the show is Usnavi, a bodega owner who looks after the aging Cuban lady next door, pines for the gorgeous girl working in the neighboring beauty salon and dreams of winning the lottery and escaping to the shores of his native Dominican Republic. Meanwhile, Nina, a childhood friend of Usnavi’s, has returned to the neighborhood from her first year at college with surprising news for her parents, who have spent their life savings on building a better life for their daughter. Ultimately, Usnavi and the residents of the close-knit neighborhood get a dose of what it means to be home.","Lin-Manuel Miranda, Arielle Jacobs, Andréa Burns, Shaun Taylor-Corbett, Christopher Jackson, Seth Stewart, Courtney Reed",120,0,89
91,Jekyll & Hyde,"Based on Robert Louis Stevenson’s novel of similar name, Jekyll & Hyde tells the story of a London scientist named Dr. Henry Jekyll who creates a potion that turns him into a murderous alter ego dubbed Edward Hyde. As Hyde’s violent rampage continues throughout London, Jekyll must figure out a way to stop the transformations before it results in deadly consequences for his fiancée Emma and a prostitute named Lucy, who has fallen for the doctor.","Constantine Maroulis, Deborah Cox, Teal Wicks, Laird Mackintosh, Richard White",80,0,83
92,Jesus Christ Superstar,"Jesus Christ Superstar will be familiar, in basic fact, to anyone with knowledge of western religion. Borrowing from the Gospels of Matthew, Mark, Luke and John, the musical tells the story of the last seven days of Jesus Christ’s life. As the show opens, apostle Judas Iscariot is growing concerned that Jesus’ followers will be perceived as a threat to the occupying Roman Empire. Indeed, priests Caiaphas, Annas and more gather and agree that Jesus and his movement must be crushed. An exalted Jesus arrives in Jerusalem only to find the temple filled with unsavory merchants and money lenders. Overrun by a flood of people needing his help, he tells them to heal themselves, and his confidante Mary Magdalene has to calm him down. Judas, fearing the movement is getting out of Jesus’ control, goes to the Romans and tells them Jesus will be in the Garden of Gethsemane the following night. He receives 30 pieces of silver as payment. At the Garden, Judas arrives with Roman soldiers and identifies Jesus by kissing him on the cheek. Jesus is arrested and sent to Caiaphas, then Pontius Pilate and finally King Herod, who condemns his to death on the cross.","Paul Alexander Nolan, Josh Young, Chilina Kennedy, Tom Hewitt, Bruce Dow, Marcus Nance, Aaron Walpole",120,0,0
93,Joan of Arc: Into the Fire,"Once upon a time, there was a girl who talked to God. She built a nation, and they burned her for it. Oscar, Grammy and Golden Globe winner David Byrne, lead singer of the Talking Heads and creator of the Public Theater hit Here Lies Love, explores the electrifying, meteoric rise of Joan of Arc through the lens of a one-of-a-kind rock musical concert.","Jo Lampert, Terence Archie, Mare Winningham, James Brown III, Rodrick Covington, Sean Allan Krill, Michael McGowan, Adam Perry, John Schiappa, Kyle Selig, Michael James Shaw",95,0,62
94,Legally Blonde,"The story is based on the novel Legally Blonde by Amanda Brown and the 2001 film of the same name. It tells the story of Elle Woods, a sorority girl who enrolls at Harvard Law School to win back her ex-boyfriend Warner. She discovers how her knowledge of the law can help others, and she successfully defends exercise queen Brooke Wyndham in a murder trial. Throughout the show, very few characters have faith in Elle Woods, but she manages to surprise them when she defies expectations while staying true to herself.","Laura Bell Bundy, Christian Borle, Orfeh, Michael Rupert, Richard H. Blake, Kate Shindle, Nikki Snelson, Natalie Joy Johnson, Andy Karl, Leslie Kritzer, 	Annaleigh Ashford, DeQuina Moore",145,0,0
95,Lestat,"The legendary songwriting team of Sir Elton John and Bernie Taupin have united to write the music and lyrics for Lestat, their first-ever Broadway musical together. The all-new musical is based on Anne Rice’s celebrated character, the suave, seductive vampire Lestat, who has already captivated audiences on the page and onscreen in such works as Interview With the Vampire, Queen of the Damned and The Vampire Lestat, drawing on characters and incidents from all three best-selling novels.","Elton John, Hugh Panaro, Carolee Carmello, Allison Fischer, Michael Genet, Roderick Hillm Drew Sarich, Jim Stanek",150,0,0
96,The Little Mermaid,"Set under and above the high seas, The Little Mermaid tells the story of Ariel, an adventurous young mermaid who’s got a thing for disobeying the rules and following her heart. Ariel’s fascination with the human world often leads her to the sea surface, a zone that’s designated as “off-limits” by her father Triton, the sea king. One day while sneaking to the surface, Ariel witnesses a shipwreck and rescues Prince Eric, with whom she become instantly smitten. Furious at Triton’s inability to understand her love for the prince, Ariel runs away and strikes a deal with Ursula, Triton’s evil witch of a sister, to experience the life she dreams of on land.","Sierra Boggess, Sean Palmer, Sherie Rene Scott, Tituss Burgess, Norm Lewis, Trevor Braun, 	Eddie Korbich, Tyler Maynard, Derrick Baskin, Jonathan Freeman, John Treacy Egan, Heidi Blickenstaff",123,0,87
97,Little Miss Sunshine,"Little Miss Sunshine takes audience members on a road trip from Albuquerque, New Mexico, to California with the eccentric Hoover family. There’s no-nonsense motivational speaker Richard, his devoted wife Sheryl, their jaded son (who has taken a vow of silence) Dwayne, porn-obsessed Grandpa, heartbroken professor Uncle Frank, and last but not least, bubbly young daughter Olive. The entire family crams into a yellow VW bus so Olive can compete in the “Little Miss Sunshine” beauty pageant, and craziness ensues along the way. When they finally arrive in California, the Hoovers must come together to support Olive and help her win the crown.","Hannah Rose Nordberg, Stephanie J. Block, Will Swenson, Rory O’Malley, Wesley Taylor, Josh Lamon, David Rasche, Jennifer Sanchez, Logan Rowland",120,0,0
98,Les Miserables,"The Tony Award-winning musical that first ran on Broadway for 16 years is back with a fresh, young cast moving audiences to tears all over again! The action begins in 1815 as Jean Valjean, a man condemned to 19 years of hard labor for stealing a loaf of bread to feed his family, finds only hatred and suspicion when he is released on parole. Meeting one man who believes in him, Valjean breaks his parole to begin a new life. The story truly begins as Jean Valjean crosses the landscape of early 19th century France, always pursued by the righteous police inspector Javert. From his adoption and love of the orphan Cosette, to the darkly funny plots of the thieving Thenardiers, from the soaring revolutionary fire of the student rebels who fight on the barricade in the streets of Paris to the final confrontation between Jean Valjean and Javert, the story of Les Miserables is one of love, courage and redemption.","John Owen-Jones, Hayden Tee, Alison Luff, Chris McCarrell, Alex Finke, Rachel Izen, David Rossmer, Brennyn Lark, Mark Uhre",175,0,92
99,Little Women,"In today’s publishing industry, books are lucky if they last a year. Louisa May Alcott’s Little Women was published in 1868 and has never been out of print since, still selling thousands of copies every year. Now, after six generations of women--both big and little--have grown up on this heartfelt classic, Little Women arrives on the Great White Way. Little Women tells of the March sisters--Jo, Meg, Beth and Amy--coming [IMG:L]of age in Civil War New England. Rising star Sutton Foster, who won the 2002 Tony Award for Thoroughly Modern Millie, will take on the role of talented tomboy Jo, who dreams of becoming a writer and finds unexpected love. This family-friendly new musical opened at the Virginia Theatre on Broadway on January 23, 2005.","Kate Hamill, Kristolyn Lloyd, Paola Sanchez Abreu, Carmen Zilles, Megan Byrne, Michael Crane, Andrew Long, Mary Bacon, Nate Mann, Ellen Harvey, John Lenartz",135,0,83
100,Love Never Dies,"Love Never Dies is a romantic musical with music by Andrew Lloyd Webber, lyrics by Glenn Slater, and a book by Lloyd Webber, Ben Elton, Frederick Forsyth, and Slater. It is a sequel to the long-running 1986 musical The Phantom of the Opera and was loosely adapted from Forsyth’s 1999 novel The Phantom of Manhattan. In the show, Christine Daaé is invited by Oscar Hammerstein I for her American debut, until an anonymous impresario contracts her to perform at Phantasma, a new attraction on Coney Island. With her husband Raoul and son Gustave in tow, she journeys to Brooklyn, unaware that it is actually the Phantom who has arranged her appearance in the popular beach resort.","Ben Lewis, Anna O’Byrne, Simon Gleeson, Maria Mercedes, Sharon Millerchip, Emma J. Hawkins, Paul Ettore Tabone, Dean Vince, George Cartwright Bush",120,0,0
101,Mamma Mia!,"GIMME GIMME GIMME one last chance to see Mamma Mia! The sunny funny tale inspired by the music of ABBA will play its final Broadway performance on September 12, 2015. On the eve of her wedding, a daughter’s quest to discover the identity of her father brings back 3 men from her mother’s past. During the hit musical’s historic fourteen year run the Broadway blockbuster became an international phenomenon.","Judy McLane, Elena Ricardo, Jon Jorgenson, Mary Callanan, Alison Ewing, Victor Wallace, Paul DeBoy, John Hemphill",150,0,86
102,Martin Guerre,"Martin Guerre, in an arranged marriage with Bertrande, is thought to be dead. Guillaume pursues her until the day Arnaud, mistaken for Martin, arrives. Bertrande knows he is not, but agrees to pretend he is for protection. The two fall in love, which prompts Guillaume to frame Martin and take him to trial. In the meantime, the real Martin arrives, and all involved attempt to right the situation in their own way.","Hugh Panaro, Erin Dilly, Stephen R. Buntrock",150,0,0
103,Mary Poppins,"Mary Poppins is the story of the Banks family who live in a big house in London on Cherry Lane. Things are not going well for the family, the children, Jane and Michael, are out of control and are in need of a new nanny. Jane and Michael have their own ideas about what sort of caretaker they should have, while their parents—and in particular Mr. Banks—are insistent on someone strict for the job. When a mysterious young woman named Mary Poppins appears at their doorstep, the family finds that she’s the answer to their prayers, but in the most peculiar way. Mary Poppins takes the children on many magical and memorable adventures, but Jane and Michael aren’t the only ones she has a profound effect upon. Even grown-ups can learn a lesson or two from the nanny who advises that “anything can happen if you let it.”","Steffanie Leigh, Nicolas Dromard, Blythe Wilson, Valerie Boyle, Dennis Moench, Karl Kenzler",170,0,0
104,Mean Girls,"Cady Heron may have grown up on an African savanna, but nothing prepared her for the wild and vicious ways of her strange new home: suburban Illinois. How will this naïve newbie rise to the top of the popularity pecking order? By taking on The Plastics, a trio of lionized frenemies led by the charming but ruthless Regina George. But, when Cady devises a plan to end Regina’s reign, she learns the hard way that you can’t cross a Queen Bee without getting stung.","Reneé Rapp, Laura Leigh Turner, Krystina Alabado, Olivia Kaufmann, Chad Burris, Catherine Brunell, Kyle Selig, Cheech Manohar, Rick Younger",150,0,83
105,Milk and Honey,"Part of the York Theatre Company’s Musicals in Mufti series, this spare revival of Jerry Herman’s 1961 musical centers on the romance between two Americans in Israel: a lonely widow and an unhappily married man. Set against the backdrop of Israel’s struggle for recognition as an independent nation, ""Milk and Honey"" is a tale of love, optimism, and second chances. With his first Broadway score, Jerry Herman—who went on to write ""Hello Dolly,"" ""Mame,"" and ""La Cage aux Folles""—showed the promise of his future musical theater work. Part of the York’s ""Musicals in Mufti"" series spotlighting classic, underappreciated Broadway musicals. ""Mufti"" means ""in everyday clothes, without all the trappings of a large production."" Each show is presented script-in-hand, with minimal staging.","Mimi Benzell, Molly Picon, Robert Weede, Juki Arkin, Diane Goldberg, Thelma Pelish, Tommy Rall, Lanna Saunders",120,0,79
106,Miss Saigon,"In the last days of the Vietnam War, 17-year-old Kim is forced to work in a Saigon bar run by a notorious character known as the Engineer. There, she meets and falls in love with an American G.I. named Chris, but they are torn apart by the fall of Saigon. For 3 years, Kim goes on an epic journey of survival to find her way back to Chris, who has no idea he’s fathered a son.","Eva Noblezada, Jon Jon Briones, Alistair Brammer, Devin Ilaw, Katie Rose Clarke, Dorcas Leung, Nicholas Christopher",160,0,85
107,Mozart!,"Mozart! is an Austrian musical, originally written in German. The original book and lyrics were written by Michael Kunze and the music and arrangements were composed by Sylvester Levay. The show is a new imagining of the struggles of the famous composer.","Oedo Kuipers, Marc Clear, Mark Seibert, Franziska Schuster, Barbara Obermeier, Ana Milva Gomes, Brigitte Oelke, Illia Hollweg",140,0,0
